,day,day
,min,max
id,,
0,2006-06-10,2006-06-19
1,2006-07-16,2006-07-19
2,2006-07-18,2006-07-22
3,2006-08-01,2006-08-06
4,2006-08-21,2006-08-28
5,2006-08-24,2006-09-04
6,2006-09-03,2006-09-19
7,2006-09-10,2006-09-24
8,2006-09-12,2006-09-27
9,2006-09-27,2006-10-03
10,2007-05-06,2007-05-14
11,2007-05-31,2007-06-05
12,2007-07-31,2007-08-05
13,2007-08-13,2007-08-23
14,2007-08-15,2007-08-19
15,2007-08-31,2007-09-06
16,2007-09-08,2007-09-11
17,2007-09-12,2007-09-18
18,2007-09-12,2007-09-14
19,2007-09-21,2007-09-22
20,2007-09-23,2007-09-24
21,2007-09-25,2007-09-29
22,2007-09-25,2007-09-28
23,2007-09-28,2007-10-05
24,2007-10-11,2007-10-17
25,2007-10-24,2007-11-06
26,2007-12-10,2007-12-16
27,2008-05-31,2008-06-02
28,2008-07-03,2008-07-21
29,2008-07-19,2008-07-23
30,2008-07-20,2008-07-27
31,2008-08-03,2008-08-06
32,2008-08-15,2008-08-28
33,2008-08-25,2008-09-05
34,2008-08-28,2008-09-08
35,2008-09-01,2008-09-15
36,2008-09-02,2008-09-10
37,2008-09-25,2008-09-30
38,2008-09-26,2008-10-04
39,2008-10-06,2008-10-07
40,2008-10-12,2008-10-15
41,2008-10-13,2008-10-21
42,2008-10-14,2008-10-16
43,2008-11-05,2008-11-14
44,2009-05-26,2009-05-30
45,2009-08-10,2009-08-16
46,2009-08-15,2009-08-26
47,2009-08-16,2009-08-17
48,2009-08-26,2009-08-29
49,2009-09-01,2009-09-04
50,2009-09-07,2009-09-19
51,2009-09-25,2009-09-26
52,2009-09-27,2009-10-06
53,2009-10-06,2009-10-11
54,2009-11-04,2009-11-11
55,2010-06-24,2010-07-02
56,2010-07-07,2010-07-10
57,2010-07-22,2010-07-25
58,2010-08-02,2010-08-08
59,2010-08-10,2010-08-18
60,2010-08-21,2010-09-03
61,2010-08-24,2010-09-06
62,2010-08-30,2010-09-04
63,2010-09-01,2010-09-08
64,2010-09-04,2010-09-10
65,2010-09-08,2010-09-23
66,2010-09-12,2010-09-24
67,2010-09-13,2010-09-18
68,2010-09-20,2010-09-29
69,2010-09-23,2010-09-26
70,2010-09-28,2010-09-30
71,2010-10-06,2010-10-17
72,2010-10-11,2010-10-15
73,2010-10-19,2010-10-26
74,2010-10-28,2010-10-30
75,2010-10-29,2010-11-10
76,2011-06-28,2011-07-01
77,2011-07-16,2011-07-23
78,2011-07-20,2011-07-23
79,2011-07-27,2011-07-30
80,2011-08-02,2011-08-07
81,2011-08-12,2011-08-16
82,2011-08-13,2011-08-17
83,2011-08-19,2011-08-22
84,2011-08-21,2011-08-30
85,2011-08-25,2011-08-27
86,2011-08-26,2011-08-29
87,2011-08-28,2011-09-12
88,2011-08-31,2011-09-03
89,2011-09-02,2011-09-06
90,2011-09-06,2011-09-16
91,2011-09-06,2011-09-12
92,2011-09-20,2011-10-04
93,2011-09-23,2011-10-09
94,2011-10-22,2011-10-29
95,2011-11-06,2011-11-12
96,2012-05-19,2012-05-23
97,2012-05-25,2012-06-02
98,2012-06-17,2012-06-24
99,2012-06-23,2012-06-27
100,2012-08-01,2012-08-10
101,2012-08-03,2012-08-08
102,2012-08-09,2012-08-19
103,2012-08-15,2012-08-21
104,2012-08-20,2012-09-01
105,2012-08-21,2012-08-24
106,2012-08-28,2012-09-03
107,2012-08-28,2012-09-12
108,2012-09-02,2012-09-12
109,2012-09-10,2012-10-04
110,2012-10-02,2012-10-05
111,2012-10-10,2012-10-13
112,2012-10-12,2012-10-26
113,2012-10-21,2012-10-31
114,2012-10-21,2012-10-26
115,2013-06-05,2013-06-08
116,2013-06-16,2013-06-21
117,2013-07-07,2013-07-10
118,2013-07-22,2013-08-04
119,2013-08-15,2013-08-19
120,2013-08-25,2013-08-26
121,2013-09-04,2013-09-13
122,2013-09-06,2013-09-07
123,2013-09-08,2013-09-19
124,2013-09-12,2013-09-17
125,2013-09-28,2013-10-06
126,2013-10-03,2013-10-06
127,2013-10-21,2013-10-26
128,2013-11-17,2013-11-23
129,2013-12-03,2013-12-07
130,2014-06-28,2014-07-09
131,2014-07-19,2014-07-23
132,2014-07-29,2014-08-09
133,2014-08-23,2014-09-02
134,2014-09-01,2014-09-04
135,2014-09-10,2014-09-22
136,2014-10-10,2014-10-13
137,2014-10-11,2014-10-20
138,2014-10-21,2014-10-29
139,2015-05-06,2015-05-12
140,2015-06-16,2015-06-21
141,2015-07-12,2015-07-15
142,2015-08-17,2015-08-24
143,2015-08-24,2015-08-28
144,2015-08-30,2015-09-06
145,2015-09-05,2015-09-09
146,2015-09-08,2015-09-11
147,2015-09-15,2015-09-19
148,2015-09-15,2015-09-28
149,2015-09-26,2015-10-15
150,2015-11-08,2015-11-13
151,2016-01-07,2016-01-17
152,2016-05-27,2016-06-09
153,2016-06-05,2016-06-08
154,2016-06-18,2016-06-21
155,2016-08-02,2016-08-06
156,2016-08-16,2016-08-24
157,2016-08-21,2016-09-03
158,2016-08-27,2016-09-01
159,2016-08-28,2016-09-08
160,2016-09-12,2016-09-17
161,2016-09-13,2016-09-21
162,2016-09-12,2016-09-26
163,2016-09-19,2016-09-26
164,2016-09-28,2016-10-10
165,2016-10-04,2016-10-19
166,2016-11-17,2016-11-26
167,2017-04-16,2017-04-22
168,2017-06-18,2017-06-20
169,2017-06-19,2017-06-24
170,2017-07-05,2017-07-07
171,2017-07-17,2017-07-18
172,2017-07-30,2017-08-02
173,2017-08-06,2017-08-10
174,2017-08-12,2017-08-18
175,2017-08-16,2017-09-02
176,2017-08-30,2017-09-13
177,2017-09-04,2017-09-25
178,2017-09-05,2017-09-09
179,2017-09-14,2017-09-30
180,2017-09-16,2017-10-02
181,2017-10-03,2017-10-11
182,2017-10-06,2017-10-17
183,2017-10-27,2017-10-29
184,2017-11-04,2017-11-09
185,2018-05-25,2018-05-31
186,2018-07-04,2018-07-17
187,2018-07-05,2018-07-17
188,2018-08-02,2018-08-10
189,2018-08-15,2018-08-19
190,2018-08-30,2018-09-18
191,2018-09-02,2018-09-07
192,2018-09-07,2018-09-17
193,2018-09-07,2018-09-15
194,2018-09-12,2018-09-21
195,2018-09-21,2018-09-22
