,station,fecha,latitude,longitude,elevation,name,report_type,source,sunrise,sunset,dailyaveragedewpointtemperature,dailyaveragedrybulbtemperature,dailyaveragerelativehumidity,dailyaveragesealevelpressure,dailyaveragestationpressure,dailyaveragewetbulbtemperature,dailyaveragewindspeed,dailymaximumdrybulbtemperature,dailyminimumdrybulbtemperature,dailypeakwinddirection,dailypeakwindspeed,dailyprecipitation,dailysustainedwinddirection,dailysustainedwindspeed,fecha_corta
0,72781524237,2019-09-01 23:59:00,47.2767,-121.3372,1206.7,"STAMPEDE PASS, WA US",SOD,6,524.0,1846.0,51.0,59.0,82.0,30.03,26.02,53.0,4.0,65.0,52.0,,,0.0,300.0,9.0,2019-09-01
1,91285021504,2019-09-01 23:59:00,19.7191,-155.053,11.6,"HILO INTERNATIONAL AIRPORT 87, HI US",SOD,6,605.0,1835.0,70.0,82.0,71.0,29.97,29.94,74.0,4.8,89.0,74.0,100.0,18.0,,90.0,15.0,2019-09-01
2,72638094814,2019-09-01 23:59:00,44.3591,-84.6738,350.8,"HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US",SOD,6,601.0,1915.0,50.0,58.0,73.0,30.18,28.95,54.0,4.6,73.0,42.0,160.0,17.0,0.0,190.0,13.0,2019-09-01
3,72734014847,2019-09-01 23:59:00,46.4794,-84.3572,220.1,"SAULT STE MARIE SANDERSON FIELD, MI US",SOD,6,557.0,1917.0,52.0,62.0,73.0,30.13,29.39,56.0,5.7,74.0,50.0,180.0,26.0,,220.0,16.0,2019-09-01
4,70316025624,2019-09-01 23:59:00,55.2207,-162.7324,23.8,"COLD BAY AIRPORT, AK US",SOD,6,657.0,2044.0,52.0,60.0,82.0,29.08,28.92,54.0,19.5,66.0,53.0,150.0,46.0,0.22,150.0,35.0,2019-09-01
5,91212041415,2019-09-01 23:59:00,13.48333,144.8,77.4,"GUAM INTERNATIONAL AIRPORT, GU GQ",SOD,6,609.0,1832.0,,84.0,73.0,,29.57,,8.9,90.0,78.0,70.0,23.0,0.1,60.0,20.0,2019-09-01
6,70350025501,2019-09-01 23:59:00,57.7511,-152.4855,24.4,"KODIAK AIRPORT, AK US",SOD,6,610.0,2008.0,53.0,60.0,80.0,29.55,29.44,56.0,13.0,64.0,56.0,150.0,31.0,0.13,160.0,24.0,2019-09-01
7,72712014607,2019-09-01 23:59:00,46.8705,-68.0173,190.2,"CARIBOU WEATHER FORECAST OFFICE, ME US",SOD,6,451.0,1812.0,43.0,57.0,61.0,30.31,29.62,50.0,4.4,69.0,44.0,170.0,16.0,0.0,210.0,12.0,2019-09-01
8,91165022536,2019-09-01 23:59:00,21.98389,-159.34056,30.5,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",SOD,6,620.0,1854.0,76.0,84.0,80.0,30.0,29.85,78.0,12.2,89.0,78.0,40.0,24.0,0.12,60.0,18.0,2019-09-01
9,70026027502,2019-09-01 23:59:00,71.2834,-156.7815,9.4,"BARROW AIRPORT, AK US",SOD,6,534.0,2117.0,35.0,41.0,81.0,29.83,29.84,38.0,25.5,44.0,38.0,100.0,42.0,0.0,100.0,35.0,2019-09-01
10,70200026617,2019-09-01 23:59:00,64.5111,-165.44,4.0,"NOME AIRPORT, AK US",SOD,6,643.0,2119.0,51.0,55.0,87.0,29.3,29.28,52.0,17.3,59.0,51.0,80.0,33.0,0.13,90.0,25.0,2019-09-01
11,72419003889,2019-09-01 23:59:00,37.59139,-83.31444,416.1,"JACKSON JULIAN CARROLL AIRPORT, KY US",SOD,6,603.0,1903.0,64.0,79.0,67.0,30.1,28.7,69.0,1.9,89.0,69.0,330.0,17.0,0.0,300.0,10.0,2019-09-01
12,70361025339,2019-09-01 23:59:00,59.512,-139.6712,10.1,"YAKUTAT AIRPORT, AK US",SOD,6,515.0,1921.0,47.0,53.0,76.0,30.0,29.97,51.0,2.4,63.0,43.0,190.0,10.0,0.01,180.0,8.0,2019-09-01
13,70308025713,2019-09-01 23:59:00,57.1552,-170.2222,10.7,"SAINT PAUL ISLAND AIRPORT, AK US",SOD,6,723.0,2118.0,52.0,55.0,95.0,28.95,28.9,53.0,17.3,57.0,52.0,280.0,38.0,0.23,290.0,28.0,2019-09-01
14,72645014898,2019-09-01 23:59:00,44.4794,-88.1366,209.4,"GREEN BAY A S INTERNATIONAL AIRPORT, WI US",SOD,6,515.0,1829.0,56.0,62.0,75.0,30.11,29.34,59.0,3.6,75.0,49.0,200.0,21.0,0.0,190.0,13.0,2019-09-01
15,72635094860,2019-09-01 23:59:00,42.8825,-85.52389,244.8,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",SOD,6,606.0,1917.0,57.0,63.0,80.0,30.15,29.31,60.0,4.9,68.0,57.0,110.0,16.0,0.18,120.0,12.0,2019-09-01
16,72654014936,2019-09-01 23:59:00,44.3981,-98.2231,390.1,"HURON REGIONAL AIRPORT, SD US",SOD,6,555.0,1910.0,62.0,72.0,78.0,30.02,28.66,65.0,4.5,83.0,60.0,150.0,20.0,,160.0,14.0,2019-09-01
17,72797094240,2019-09-01 23:59:00,47.9375,-124.555,56.4,"QUILLAYUTE AIRPORT, WA US",SOD,6,536.0,1859.0,60.0,62.0,92.0,30.0,29.78,61.0,3.5,67.0,56.0,190.0,17.0,0.2,200.0,12.0,2019-09-01
18,72605014745,2019-09-01 23:59:00,43.2049,-71.50274,104.5,"CONCORD ASOS, NH US",SOD,6,510.0,1821.0,51.0,59.0,73.0,30.34,29.96,55.0,3.3,73.0,45.0,120.0,15.0,0.0,120.0,9.0,2019-09-01
19,72528014733,2019-09-01 23:59:00,42.93997,-78.73615,218.2,"BUFFALO NIAGARA INTERNATIONAL, NY US",SOD,6,539.0,1850.0,56.0,67.0,72.0,30.18,29.46,61.0,6.7,75.0,58.0,150.0,18.0,0.9,200.0,14.0,2019-09-01
20,72344013964,2019-09-01 23:59:00,35.333,-94.3625,136.9,"FORT SMITH REGIONAL AIRPORT, AR US",SOD,6,550.0,1845.0,76.0,83.0,86.0,30.05,29.57,77.0,4.1,91.0,74.0,350.0,24.0,0.04,350.0,20.0,2019-09-01
21,72446003947,2019-09-01 23:59:00,39.2972,-94.7306,306.3,"KANSAS CITY INTERNATIONAL AIRPORT, MO US",SOD,6,547.0,1850.0,64.0,71.0,82.0,30.11,29.03,66.0,4.4,78.0,63.0,80.0,12.0,0.0,80.0,9.0,2019-09-01
22,72562024023,2019-09-01 23:59:00,41.1213,-100.6694,846.7,"NORTH PLATTE REGIONAL AIRPORT, NE US",SOD,6,609.0,1916.0,67.0,77.0,79.0,30.0,27.16,70.0,8.9,87.0,66.0,180.0,24.0,0.0,190.0,17.0,2019-09-01
23,72423093821,2019-09-01 23:59:00,38.1811,-85.7391,148.7,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",SOD,6,612.0,1913.0,65.0,81.0,61.0,30.07,29.56,70.0,5.6,91.0,71.0,240.0,24.0,0.0,240.0,17.0,2019-09-01
24,72515004725,2019-09-01 23:59:00,42.2068,-75.98,486.2,"BINGHAMTON GREATER AP, NY US",SOD,6,529.0,1838.0,52.0,60.0,79.0,30.27,28.55,55.0,6.9,69.0,51.0,170.0,21.0,,180.0,14.0,2019-09-01
25,72519014771,2019-09-01 23:59:00,43.1111,-76.1038,125.9,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",SOD,6,528.0,1840.0,54.0,62.0,76.0,30.24,29.82,58.0,6.1,72.0,52.0,360.0,20.0,1.0,290.0,14.0,2019-09-01
26,72513014777,2019-09-01 23:59:00,41.3336,-75.7269,283.5,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",SOD,6,529.0,1836.0,56.0,67.0,68.0,30.26,29.26,60.0,4.0,77.0,57.0,250.0,16.0,0.01,210.0,10.0,2019-09-01
27,72438093819,2019-09-01 23:59:00,39.72517,-86.28168,241.1,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",SOD,6,613.0,1917.0,64.0,72.0,79.0,30.09,29.23,66.0,4.7,79.0,65.0,90.0,15.0,,30.0,10.0,2019-09-01
28,72412003872,2019-09-01 23:59:00,37.7836,-81.123,766.3,"BECKLEY RALEIGH CO AIRPORT, WV US",SOD,6,554.0,1854.0,59.0,73.0,65.0,30.14,27.6,64.0,9.1,82.0,63.0,130.0,23.0,0.0,160.0,16.0,2019-09-01
29,72334013893,2019-09-01 23:59:00,35.0564,-89.9865,77.4,"MEMPHIS INTERNATIONAL AIRPORT, TN US",SOD,6,532.0,1827.0,67.0,82.0,61.0,30.06,29.7,72.0,2.8,94.0,69.0,270.0,15.0,0.0,130.0,10.0,2019-09-01
30,72597524235,2019-09-01 23:59:00,42.6003,-123.3641,1168.0,"SEXTON SUMMIT, OR US",SOD,6,538.0,1848.0,53.0,66.0,75.0,29.96,26.14,57.0,4.0,77.0,54.0,310.0,17.0,0.0,340.0,10.0,2019-09-01
31,72785024157,2019-09-01 23:59:00,47.6216,-117.528,717.2,"SPOKANE INTERNATIONAL AIRPORT, WA US",SOD,6,508.0,1831.0,47.0,75.0,39.0,29.9,27.47,58.0,7.7,86.0,64.0,240.0,24.0,0.0,250.0,20.0,2019-09-01
32,72637014826,2019-09-01 23:59:00,42.9666,-83.7494,234.7,"FLINT FCWOS, MI US",SOD,6,559.0,1910.0,55.0,64.0,75.0,30.17,29.36,58.0,3.0,70.0,57.0,160.0,12.0,0.12,160.0,9.0,2019-09-01
33,72644014925,2019-09-01 23:59:00,43.9041,-92.4916,397.5,"ROCHESTER INTERNATIONAL AIRPORT, MN US",SOD,6,533.0,1846.0,56.0,62.0,81.0,30.11,28.69,59.0,7.4,75.0,49.0,210.0,21.0,0.0,210.0,16.0,2019-09-01
34,70219026615,2019-09-01 23:59:00,60.785,-161.8293,31.1,"BETHEL AIRPORT, AK US",SOD,6,640.0,2053.0,51.0,58.0,83.0,29.12,28.97,54.0,12.6,64.0,52.0,110.0,31.0,0.16,120.0,23.0,2019-09-01
35,72745014913,2019-09-01 23:59:00,46.8369,-92.1833,436.8,"DULUTH INTERNATIONAL AIRPORT, MN US",SOD,6,528.0,1849.0,54.0,62.0,75.0,30.07,28.54,58.0,8.3,68.0,55.0,230.0,23.0,,210.0,16.0,2019-09-01
36,72532014842,2019-09-01 23:59:00,40.6675,-89.6839,198.1,"GENERAL WAYNE A. DOWNING INTERNATIONAL AIRPORT, IL US",SOD,6,526.0,1831.0,63.0,67.0,87.0,30.1,29.39,65.0,3.1,72.0,62.0,80.0,17.0,0.62,70.0,12.0,2019-09-01
37,72747014918,2019-09-01 23:59:00,48.5614,-93.3981,360.6,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",SOD,6,530.0,1856.0,53.0,54.0,91.0,30.04,28.77,54.0,2.6,65.0,42.0,310.0,12.0,0.03,310.0,9.0,2019-09-01
