id,day,name,year,date,status_of_system,latitude,longitude,maximum_sustained wind,maximum_pressure
0,2006-06-10,ALBERTO,2006,2006-06-10 18:00:00,TD,21.9,-85.0,30,1004
0,2006-06-11,ALBERTO,2006,2006-06-11 18:00:00,TS,24.3,-86.3,40,1004
0,2006-06-12,ALBERTO,2006,2006-06-12 18:00:00,TS,27.5,-85.4,60,1004
0,2006-06-13,ALBERTO,2006,2006-06-13 18:00:00,TS,30.3,-83.5,60,998
0,2006-06-14,ALBERTO,2006,2006-06-14 18:00:00,TS,35.5,-77.5,35,1003
0,2006-06-15,ALBERTO,2006,2006-06-15 18:00:00,EX,42.6,-64.2,55,999
0,2006-06-16,ALBERTO,2006,2006-06-16 18:00:00,EX,49.3,-51.5,55,990
0,2006-06-17,ALBERTO,2006,2006-06-17 18:00:00,EX,54.0,-29.0,40,995
0,2006-06-18,ALBERTO,2006,2006-06-18 18:00:00,EX,55.0,-9.0,30,997
0,2006-06-19,ALBERTO,2006,2006-06-19 06:00:00,EX,57.0,-3.0,30,999
1,2006-07-16,UNNAMED,2006,2006-07-16 18:00:00,EX,37.7,-68.2,30,1009
1,2006-07-17,UNNAMED,2006,2006-07-17 18:00:00,TS,41.1,-63.7,45,1009
1,2006-07-18,UNNAMED,2006,2006-07-18 18:00:00,TS,47.1,-55.8,40,1009
1,2006-07-19,UNNAMED,2006,2006-07-19 12:00:00,LO,49.8,-46.1,25,1014
2,2006-07-18,BERYL,2006,2006-07-18 18:00:00,TS,33.0,-73.3,35,1010
2,2006-07-19,BERYL,2006,2006-07-19 18:00:00,TS,35.9,-73.5,50,1006
2,2006-07-20,BERYL,2006,2006-07-20 18:00:00,TS,39.1,-72.5,50,1002
2,2006-07-21,BERYL,2006,2006-07-21 18:00:00,TS,43.8,-66.3,45,1003
2,2006-07-22,BERYL,2006,2006-07-22 12:00:00,EX,48.5,-56.5,35,1004
3,2006-08-01,CHRIS,2006,2006-08-01 18:00:00,TS,17.7,-58.1,50,1011
3,2006-08-02,CHRIS,2006,2006-08-02 18:00:00,TS,19.6,-61.4,55,1004
3,2006-08-03,CHRIS,2006,2006-08-03 18:00:00,TS,20.6,-64.8,50,1011
3,2006-08-04,CHRIS,2006,2006-08-04 18:00:00,TD,21.3,-68.7,30,1012
3,2006-08-05,CHRIS,2006,2006-08-05 18:00:00,LO,22.1,-73.4,25,1012
3,2006-08-06,CHRIS,2006,2006-08-06 12:00:00,LO,23.2,-78.9,20,1013
4,2006-08-21,DEBBY,2006,2006-08-21 18:00:00,TD,11.6,-21.7,30,1007
4,2006-08-22,DEBBY,2006,2006-08-22 18:00:00,TD,14.2,-22.7,30,1007
4,2006-08-23,DEBBY,2006,2006-08-23 18:00:00,TS,17.6,-28.1,45,1003
4,2006-08-24,DEBBY,2006,2006-08-24 18:00:00,TS,20.9,-33.9,45,1000
4,2006-08-25,DEBBY,2006,2006-08-25 18:00:00,TS,24.4,-40.2,45,1005
4,2006-08-26,DEBBY,2006,2006-08-26 18:00:00,TS,26.5,-45.1,35,1011
4,2006-08-27,DEBBY,2006,2006-08-27 18:00:00,LO,30.6,-48.1,25,1012
4,2006-08-28,DEBBY,2006,2006-08-28 00:00:00,LO,32.1,-48.3,25,1012
5,2006-08-24,ERNESTO,2006,2006-08-24 18:00:00,TD,12.7,-61.6,30,1008
5,2006-08-25,ERNESTO,2006,2006-08-25 18:00:00,TS,14.0,-63.0,35,1007
5,2006-08-26,ERNESTO,2006,2006-08-26 18:00:00,TS,15.7,-68.3,55,1002
5,2006-08-27,ERNESTO,2006,2006-08-27 18:00:00,TS,17.8,-72.0,65,1002
5,2006-08-28,ERNESTO,2006,2006-08-28 18:00:00,TS,20.8,-74.6,40,1007
5,2006-08-29,ERNESTO,2006,2006-08-29 18:00:00,TS,23.9,-77.4,40,1007
5,2006-08-30,ERNESTO,2006,2006-08-30 18:00:00,TS,27.0,-80.4,40,1004
5,2006-08-31,ERNESTO,2006,2006-08-31 18:00:00,TS,31.9,-79.2,60,1000
5,2006-09-01,ERNESTO,2006,2006-09-01 18:00:00,TS,36.6,-77.2,60,997
5,2006-09-02,ERNESTO,2006,2006-09-02 18:00:00,EX,38.9,-76.7,40,1010
5,2006-09-03,ERNESTO,2006,2006-09-03 18:00:00,EX,44.5,-76.7,35,1015
5,2006-09-04,ERNESTO,2006,2006-09-04 06:00:00,EX,46.5,-74.4,20,1015
6,2006-09-03,FLORENCE,2006,2006-09-03 18:00:00,TD,14.1,-39.4,30,1007
6,2006-09-04,FLORENCE,2006,2006-09-04 18:00:00,TD,16.4,-40.0,30,1007
6,2006-09-05,FLORENCE,2006,2006-09-05 18:00:00,TS,17.3,-44.8,40,1007
6,2006-09-06,FLORENCE,2006,2006-09-06 18:00:00,TS,19.0,-48.6,45,1003
6,2006-09-07,FLORENCE,2006,2006-09-07 18:00:00,TS,20.3,-51.9,45,1002
6,2006-09-08,FLORENCE,2006,2006-09-08 18:00:00,TS,21.9,-55.7,45,1002
6,2006-09-09,FLORENCE,2006,2006-09-09 18:00:00,TS,25.1,-61.0,50,997
6,2006-09-10,FLORENCE,2006,2006-09-10 18:00:00,TS,29.3,-64.6,80,987
6,2006-09-11,FLORENCE,2006,2006-09-11 18:00:00,HU,33.6,-65.0,80,977
6,2006-09-12,FLORENCE,2006,2006-09-12 18:00:00,HU,38.5,-60.2,70,977
6,2006-09-13,FLORENCE,2006,2006-09-13 18:00:00,EX,46.4,-54.0,70,978
6,2006-09-14,FLORENCE,2006,2006-09-14 18:00:00,EX,49.8,-42.6,65,976
6,2006-09-15,FLORENCE,2006,2006-09-15 18:00:00,EX,50.0,-27.5,45,986
6,2006-09-16,FLORENCE,2006,2006-09-16 18:00:00,EX,56.6,-20.5,40,987
6,2006-09-17,FLORENCE,2006,2006-09-17 18:00:00,EX,62.0,-20.5,45,980
6,2006-09-18,FLORENCE,2006,2006-09-18 18:00:00,EX,63.0,-24.5,50,979
6,2006-09-19,FLORENCE,2006,2006-09-19 00:00:00,EX,62.0,-34.0,50,982
7,2006-09-10,GORDON,2006,2006-09-10 18:00:00,TD,20.2,-53.8,25,1012
7,2006-09-11,GORDON,2006,2006-09-11 18:00:00,TS,21.4,-54.5,40,1011
7,2006-09-12,GORDON,2006,2006-09-12 18:00:00,TS,23.4,-57.6,55,1003
7,2006-09-13,GORDON,2006,2006-09-13 18:00:00,HU,26.5,-57.7,95,987
7,2006-09-14,GORDON,2006,2006-09-14 18:00:00,HU,29.8,-55.4,105,958
7,2006-09-15,GORDON,2006,2006-09-15 18:00:00,HU,31.1,-53.5,100,976
7,2006-09-16,GORDON,2006,2006-09-16 18:00:00,HU,31.5,-53.5,75,987
7,2006-09-17,GORDON,2006,2006-09-17 18:00:00,HU,34.1,-52.9,70,987
7,2006-09-18,GORDON,2006,2006-09-18 18:00:00,HU,37.5,-46.3,85,981
7,2006-09-19,GORDON,2006,2006-09-19 18:00:00,HU,38.1,-33.5,90,979
7,2006-09-20,GORDON,2006,2006-09-20 18:00:00,HU,38.5,-18.5,70,983
7,2006-09-21,GORDON,2006,2006-09-21 18:00:00,EX,52.5,-9.0,60,986
7,2006-09-22,GORDON,2006,2006-09-22 18:00:00,EX,57.0,-10.5,65,980
7,2006-09-23,GORDON,2006,2006-09-23 18:00:00,EX,54.5,-14.5,45,994
7,2006-09-24,GORDON,2006,2006-09-24 18:00:00,EX,50.5,-7.5,30,1001
8,2006-09-12,HELENE,2006,2006-09-12 18:00:00,TD,11.9,-22.0,30,1007
8,2006-09-13,HELENE,2006,2006-09-13 18:00:00,TD,12.5,-24.6,30,1007
8,2006-09-14,HELENE,2006,2006-09-14 18:00:00,TS,14.0,-31.9,40,1005
8,2006-09-15,HELENE,2006,2006-09-15 18:00:00,TS,16.2,-38.3,55,1002
8,2006-09-16,HELENE,2006,2006-09-16 18:00:00,TS,18.9,-43.3,65,992
8,2006-09-17,HELENE,2006,2006-09-17 18:00:00,HU,20.8,-47.1,90,983
8,2006-09-18,HELENE,2006,2006-09-18 18:00:00,HU,23.6,-49.1,105,962
8,2006-09-19,HELENE,2006,2006-09-19 18:00:00,HU,24.4,-51.0,95,962
8,2006-09-20,HELENE,2006,2006-09-20 18:00:00,HU,25.9,-54.4,90,960
8,2006-09-21,HELENE,2006,2006-09-21 18:00:00,HU,30.2,-57.0,80,970
8,2006-09-22,HELENE,2006,2006-09-22 18:00:00,HU,34.9,-53.7,75,970
8,2006-09-23,HELENE,2006,2006-09-23 18:00:00,HU,37.7,-45.4,80,964
8,2006-09-24,HELENE,2006,2006-09-24 18:00:00,HU,42.0,-35.9,70,964
8,2006-09-25,HELENE,2006,2006-09-25 18:00:00,EX,44.9,-29.8,65,972
8,2006-09-26,HELENE,2006,2006-09-26 18:00:00,EX,47.2,-20.1,50,986
8,2006-09-27,HELENE,2006,2006-09-27 18:00:00,EX,56.3,-7.6,45,988
9,2006-09-27,ISAAC,2006,2006-09-27 18:00:00,TD,26.1,-52.6,30,1012
9,2006-09-28,ISAAC,2006,2006-09-28 18:00:00,TS,28.6,-53.4,40,1012
9,2006-09-29,ISAAC,2006,2006-09-29 18:00:00,TS,29.5,-54.9,50,1006
9,2006-09-30,ISAAC,2006,2006-09-30 18:00:00,TS,31.3,-57.1,70,997
9,2006-10-01,ISAAC,2006,2006-10-01 18:00:00,HU,35.2,-59.8,75,987
9,2006-10-02,ISAAC,2006,2006-10-02 18:00:00,TS,45.5,-53.7,65,995
9,2006-10-03,ISAAC,2006,2006-10-03 12:00:00,EX,49.5,-47.0,55,1000
10,2007-05-06,ANDREA,2007,2007-05-06 18:00:00,EX,35.5,-73.0,40,1012
10,2007-05-07,ANDREA,2007,2007-05-07 18:00:00,EX,34.3,-71.7,65,1005
10,2007-05-08,ANDREA,2007,2007-05-08 18:00:00,EX,31.0,-74.9,55,1001
10,2007-05-09,ANDREA,2007,2007-05-09 18:00:00,SS,30.9,-78.3,50,1003
10,2007-05-10,ANDREA,2007,2007-05-10 18:00:00,SS,30.7,-79.8,40,1003
10,2007-05-11,ANDREA,2007,2007-05-11 18:00:00,SD,29.4,-79.5,30,1005
10,2007-05-12,ANDREA,2007,2007-05-12 18:00:00,LO,29.4,-78.0,25,1006
10,2007-05-13,ANDREA,2007,2007-05-13 18:00:00,LO,31.4,-71.9,25,1007
10,2007-05-14,ANDREA,2007,2007-05-14 00:00:00,LO,31.8,-69.4,25,1007
11,2007-05-31,BARRY,2007,2007-05-31 18:00:00,LO,19.6,-86.6,25,1008
11,2007-06-01,BARRY,2007,2007-06-01 18:00:00,TS,23.6,-85.7,40,1005
11,2007-06-02,BARRY,2007,2007-06-02 18:00:00,TS,29.7,-82.1,50,1001
11,2007-06-03,BARRY,2007,2007-06-03 18:00:00,EX,33.7,-78.4,40,997
11,2007-06-04,BARRY,2007,2007-06-04 18:00:00,EX,40.7,-72.1,40,992
11,2007-06-05,BARRY,2007,2007-06-05 12:00:00,EX,47.5,-68.5,35,992
12,2007-07-31,CHANTAL,2007,2007-07-31 18:00:00,TS,40.7,-62.3,45,1007
12,2007-08-01,CHANTAL,2007,2007-08-01 18:00:00,TS,49.0,-49.5,60,994
12,2007-08-02,CHANTAL,2007,2007-08-02 18:00:00,EX,58.6,-33.9,60,985
12,2007-08-03,CHANTAL,2007,2007-08-03 18:00:00,EX,58.9,-25.2,60,967
12,2007-08-04,CHANTAL,2007,2007-08-04 18:00:00,EX,61.7,-14.0,55,978
12,2007-08-05,CHANTAL,2007,2007-08-05 12:00:00,EX,66.0,-7.0,45,985
13,2007-08-13,DEAN,2007,2007-08-13 18:00:00,TD,12.2,-28.9,30,1006
13,2007-08-14,DEAN,2007,2007-08-14 18:00:00,TS,11.9,-34.5,40,1005
13,2007-08-15,DEAN,2007,2007-08-15 18:00:00,TS,12.8,-41.7,55,997
13,2007-08-16,DEAN,2007,2007-08-16 18:00:00,TS,13.8,-49.2,80,991
13,2007-08-17,DEAN,2007,2007-08-17 18:00:00,HU,14.8,-57.7,110,976
13,2007-08-18,DEAN,2007,2007-08-18 18:00:00,HU,15.9,-65.1,145,944
13,2007-08-19,DEAN,2007,2007-08-19 18:00:00,HU,17.1,-71.0,125,930
13,2007-08-20,DEAN,2007,2007-08-20 18:00:00,HU,18.0,-77.8,135,926
13,2007-08-21,DEAN,2007,2007-08-21 18:00:00,HU,19.2,-85.1,150,960
