,name,longitude,latitude,cluster,centroids
72569024089,CASPER NATRONA CO AIRPORT WY US,-106.47371,42.89779,10,0
72423093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,-85.7391,38.1811,0,0
72576024021,LANDER AIRPORT WY US,-108.72611,42.81538,10,0
72548094910,WATERLOO MUNICIPAL AIRPORT IA US,-92.4011,42.5544,13,0
72643014920,LA CROSSE MUNICIPAL AIRPORT WI US,-91.2527,43.8788,13,0
72375003103,FLAGSTAFF AIRPORT AZ US,-111.6663,35.1441,5,0
72456013996,TOPEKA ASOS KS US,-95.6261,39.0725,13,0
72773024153,MISSOULA INTERNATIONAL AIRPORT MT US,-114.0925,46.9208,8,0
72504094702,IGOR I SIKORSKY MEMORIAL AIRPORT CT US,-73.12669,41.16422,12,0
72556014941,NORFOLK KARL STEFAN MEMORIAL AIRPORT NE US,-97.4352,41.9855,13,0
72637014826,FLINT FCWOS MI US,-83.7494,42.9666,0,0
72323003856,HUNTSVILLE INTNL AIRPORT AL US,-86.7869,34.6441,7,0
72681024131,BOISE AIR TERMINAL ID US,-116.2405,43.5666,8,0
72344593993,FAYETTEVILLE DRAKE FIELD AR US,-94.1694,36.0097,11,0
72476023066,GRAND JUNCTION WALKER FIELD CO US,-108.54,39.1342,5,0
72644014925,ROCHESTER INTERNATIONAL AIRPORT MN US,-92.4916,43.9041,13,0
72514014778,WILLIAMSPORT REGIONAL AIRPORT PA US,-76.9218,41.24295,12,0
72605014745,CONCORD ASOS NH US,-71.50274,43.2049,12,0
72638094814,HOUGHTON LAKE ROSCOMMON CO AIRPORT MI US,-84.6738,44.3591,0,0
72344013964,FORT SMITH REGIONAL AIRPORT AR US,-94.3625,35.333,11,0
72308013737,NORFOLK INTERNATIONAL AIRPORT VA US,-76.1922,36.9033,12,0
72412003872,BECKLEY RALEIGH CO AIRPORT WV US,-81.123,37.7836,0,0
72266013962,ABILENE REGIONAL AIRPORT TX US,-99.6822,32.4105,11,0
72583024128,WINNEMUCCA AIRPORT NV US,-117.808,40.9017,3,0
72772024144,HELENA AIRPORT ASOS MT US,-111.9636,46.6056,10,0
72698024229,PORTLAND INTERNATIONAL AIRPORT OR US,-122.6093,45.5958,8,0
72785024157,SPOKANE INTERNATIONAL AIRPORT WA US,-117.528,47.6216,8,0
72334013893,MEMPHIS INTERNATIONAL AIRPORT TN US,-89.9865,35.0564,7,0
72410613728,DANVILLE REGIONAL AIRPORT VA US,-79.3351,36.5729,0,0
72655014926,ST. CLOUD REGIONAL AIRPORT MN US,-94.0513,45.5433,13,0
72546014933,DES MOINES INTERNATIONAL AIRPORT IA US,-93.653,41.5338,13,0
72582524121,ELKO REGIONAL AIRPORT NV US,-115.7886,40.8288,3,0
72550014942,OMAHA EPPLEY AIRFIELD NE US,-95.8991,41.3102,13,0
74736093042,DALHART FAA AIRPORT TX US,-102.55,36.0167,5,0
72654014936,HURON REGIONAL AIRPORT SD US,-98.2231,44.3981,13,0
72562024023,NORTH PLATTE REGIONAL AIRPORT NE US,-100.6694,41.1213,10,0
72462023061,ALAMOSA BERGMAN FIELD CO US,-105.8613,37.4389,5,0
72446003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,-94.7306,39.2972,13,0
72335013877,BRISTOL AIRPORT TN US,-82.39898,36.47967,0,0
70174026533,BETTLES AIRPORT AK US,-151.51892,66.91764,6,0
72572024127,SALT LAKE CITY INTERNATIONAL AIRPORT UT US,-111.96503,40.77069,10,0
72777094012,HAVRE AIRPORT ASOS MT US,-109.7633,48.5428,10,0
72757014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,-97.1839,47.9428,13,0
72228013876,BIRMINGHAM AIRPORT AL US,-86.745,33.56556,7,0
72734014847,SAULT STE MARIE SANDERSON FIELD MI US,-84.3572,46.4794,0,0
72557014943,SIOUX CITY AIRPORT IA US,-96.3791,42.3913,13,0
72327013897,NASHVILLE INTERNATIONAL AIRPORT TN US,-86.68917,36.11889,7,0
72779024146,KALISPELL GLACIER AIRPORT MT US,-114.2636,48.3042,8,0
72434013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US,-90.3736,38.7525,13,0
72775024143,GREAT FALLS AIRPORT MT US,-111.3822,47.4733,10,0
72488023185,RENO AIRPORT NV US,-119.7711,39.4838,3,0
72578024156,POCATELLO REGIONAL AIRPORT ID US,-112.5711,42.9202,10,0
72435003816,PADUCAH BARKLEY REGIONAL AIRPORT KY US,-88.7744,37.0563,7,0
72645014898,GREEN BAY A S INTERNATIONAL AIRPORT WI US,-88.1366,44.4794,13,0
72745014913,DULUTH INTERNATIONAL AIRPORT MN US,-92.1833,46.8369,13,0
72419003889,JACKSON JULIAN CARROLL AIRPORT KY US,-83.31444,37.59139,0,0
72265023023,MIDLAND INTERNATIONAL AIRPORT TX US,-102.2086,31.9475,11,0
72659014929,ABERDEEN REGIONAL AIRPORT SD US,-98.413,45.4433,13,0
72658014922,MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT MN US,-93.2289,44.8831,13,0
72363023047,AMARILLO AIRPORT TX US,-101.7042,35.2295,5,0
72450003928,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,-97.43,37.6475,11,0
72532014842,GENERAL WAYNE A. DOWNING INTERNATIONAL AIRPORT IL US,-89.6839,40.6675,13,0
72438093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,-86.28168,39.72517,0,0
72564024018,CHEYENNE WSFO AIRPORT WY US,-104.80694,41.15778,10,0
72651014944,SIOUX FALLS FOSS FIELD SD US,-96.7539,43.5778,13,0
72635094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,-85.52389,42.8825,0,0
72440013995,SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT MO US,-93.39007,37.23985,13,0
72688024155,PENDLETON E OR REGIONAL AIRPORT OR US,-118.83446,45.6975,8,0
70381025309,JUNEAU AIRPORT AK US,-134.564,58.3566,2,0
72465023065,GOODLAND RENNER FIELD KS US,-101.6932,39.3672,5,0
72592024257,REDDING AIRPORT CA US,-122.2986,40.5175,3,0
72389093193,FRESNO YOSEMITE INTERNATIONAL CA US,-119.7194,36.78,3,1
72515004725,BINGHAMTON GREATER AP NY US,-75.98,42.2068,12,0
70273026451,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,-150.0278,61.169,6,0
72451013985,DODGE CITY REGIONAL AIRPORT KS US,-99.9678,37.7686,11,0
72544014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,-90.52333,41.46528,13,0
70200026617,NOME AIRPORT AK US,-165.44,64.5111,6,0
70231026510,MCGRATH AIRPORT AK US,-155.61009,62.9574,6,1
70219026615,BETHEL AIRPORT AK US,-161.8293,60.785,6,0
70026027502,BARROW AIRPORT AK US,-156.73938,71.28703,6,0
70398025308,ANNETTE AIRPORT AK US,-131.5787,55.0389,2,0
72552014935,GRAND ISLAND CENTRAL NE REGIONAL AIRPORT NE US,-98.31304,40.96146,13,0
72408013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,-75.22678,39.87327,12,0
72425003860,HUNTINGTON TRI STATE AIRPORT WV US,-82.55485,38.36532,0,0
